M_CODE,A_CODE,B_CODE,INDEX_CODE,CPN_FORMULA,UP_THRESHOLD,DOWN_THRESHOLD,A_RATIO,THIS_COUPON,NEXT_COUPON,NEXT_RESET_DATE,A_ESTY_NAV,FUND_STATUS,FUND_STEP,POSITION_LEVEL,A_PRE_CLOSE,A_PRE_AMT,A_PRE_NAV,B_PRE_CLOSE,B_PRE_AMT,B_PRE_NAV,M_PRE_CLOSE,M_PRE_AMT,M_PRE_NAV,INDEX_PRE_CLOSE
161032.OF,150321.SZ,150322.SZ,399998.SZ,0.05,1.5,0.25,0.5,0.065,0.065,2016-12-01,1.0304060842042373,Normal,5.0,0.95,1.19,720272.2,1.03,0.76,2842920.0,0.91,,,0.97,1336.124
164819.OF,150323.SZ,150324.SZ,990827.SH,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.021038251366119,Normal,5.0,0.95,1.02,1209358.0,1.0206,0.384,486234.8,0.3934,,,0.7070000000000001,1586.2905
164820.OF,150325.SZ,150326.SZ,399807.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.017581967213114,Normal,5.0,0.95,1.056,3382.6,1.0171,0.838,92633.6,0.8907,,,0.9539,1947.559
164821.OF,150327.SZ,150328.SZ,399808.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.017281420765027,Normal,5.0,0.95,1.0590000000000002,4114.8,1.0168,1.129,103537.4,1.2016,,,1.1092,1633.4660000000001
167301.OF,150329.SZ,150330.SZ,399809.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.0197260273972644,Normal,5.0,0.95,0.9790000000000001,430311.2,1.0190000000000001,0.84,1369729.0,0.807,,,0.9129999999999999,1515.6670000000001
165315.OF,150331.SZ,150332.SZ,399805.SZ,0.045,1.5,0.25,0.5,0.06,0.06,2016-12-01,1.0286885245901545,Normal,5.0,0.95,1.087,6263066.3999999985,1.0282,0.486,40269749.90000001,0.542,,,0.7851,3071.59
161628.OF,150335.SZ,150336.SZ,399967.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.0242694812485942,Normal,5.0,0.95,1.025,5442363.3,1.024,0.494,8796834.9,0.502,,,0.763,10051.77
161629.OF,150343.SZ,150344.SZ,399975.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.0124726775956276,Normal,5.0,0.95,1.062,519216.2,1.012,1.013,2758792.3000000003,1.08,,,1.046,805.337
502000.OF,502001.SH,502002.SH,990982.SH,0.035,1.5,0.25,0.5,0.05,0.05,2017-01-03,1.0193815604860654,Normal,5.0,0.95,0.992,26090.0,1.0190000000000001,0.8140000000000001,27621.0,0.7909999999999999,0.976,196661.0,0.905,6946.7692
502003.OF,502004.SH,502005.SH,399967.SZ,0.03,1.5,0.25,0.5,0.05,0.05,2016-07-08,1.015753424657533,Normal,5.0,0.95,0.9740000000000001,2819740.0,1.0153,1.0490000000000002,14975771.0,1.0123,1.01,3696412.0,1.0138,10051.77
502006.OF,502007.SH,502008.SH,399974.SZ,0.03,1.5,0.25,0.5,0.0525,0.0525,2016-06-15,1.0389794520547821,Normal,5.0,0.95,0.997,445898.0,1.0385,0.644,1836676.0,0.6099,0.823,354326.0,0.8242,1229.8935
502010.OF,502011.SH,502012.SH,399975.SZ,0.03,1.5,0.25,0.5,0.05,0.05,2016-07-08,1.0160273972602736,Normal,5.0,0.95,0.986,6582251.0,1.0156,1.153,15419449.0,1.1312,1.068,12978803.0,1.0734,805.337
502013.OF,502014.SH,502015.SH,930620.CSI,0.0575,1.5,0.25,0.5,0.0575,0.0575,2016-11-30,1.0274931693989071,Normal,5.0,0.95,1.004,387732.0,1.0270000000000001,0.4,733466.0,0.377,0.705,128110.0,0.7020000000000001,1472.1338
502016.OF,502017.SH,502018.SH,399991.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.019482426038036,Normal,5.0,0.95,0.9840000000000001,3.0,1.0190000000000001,0.865,22309.0,0.8270000000000001,0.9359999999999999,30046.0,0.9229999999999999,1409.882
502020.OF,502021.SH,502022.SH,999987.SH,0.035,1.5,0.25,0.5,0.05,0.05,2016-12-15,1.0218639119694641,Normal,5.0,0.95,0.993,49650.0,1.021,1.25,332631.0,1.114,1.056,23016.0,1.067,2083.1174
502023.OF,502024.SH,502025.SH,399440.SZ,0.03,1.5,0.25,0.5,0.05,0.05,2016-09-01,1.0389344262295082,Normal,5.0,0.95,0.997,19940.0,1.0390000000000001,0.631,430179.0,0.595,0.823,101571.0,0.8170000000000001,1300.36
502026.OF,502027.SH,502028.SH,399429.SZ,0.03,1.5,0.25,0.5,0.05,0.05,2016-09-01,1.0389344262295082,Normal,5.0,0.95,1.001,62454.0,1.0390000000000001,0.6409999999999999,78590.0,0.609,0.866,82396.0,0.8240000000000001,1307.6889999999999
502030.OF,502031.SH,502032.SH,399807.SZ,0.035,1.5,0.25,0.5,0.05500000000000002,0.05500000000000002,2016-07-29,1.017281420765027,Normal,5.0,0.95,1.068,15317.0,1.0170000000000001,0.87,116151.0,0.9129999999999999,,,0.965,1947.559
502036.OF,502037.SH,502038.SH,399805.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.0174428100905761,Normal,5.0,0.95,1.0659999999999998,8741.0,1.0170000000000001,1.006,155708.0,1.0735,1.031,82149.0,1.0452,3071.59
502040.OF,502041.SH,502042.SH,999987.SH,0.035,1.5,0.25,0.5,0.05500000000000002,0.05500000000000002,2016-11-30,1.042827868852459,Normal,5.0,0.95,1.012,10120.0,1.042,0.7170000000000001,26197.0,0.71,0.897,0.0,0.8759999999999999,2083.1174
502048.OF,502049.SH,502050.SH,999987.SH,0.03,1.5,0.25,0.5,0.045,0.045,2017-04-15,1.0048082191780832,Normal,5.0,0.95,0.9670000000000001,806676.0,1.0044,1.047,885950.0,1.0234,1.013,555340.0,1.0139,2083.1174
502053.OF,502054.SH,502055.SH,399975.SZ,0.035,1.5,0.25,0.5,0.05500000000000002,0.05500000000000002,2016-11-30,1.042827868852459,Normal,5.0,0.95,1.013,35500.0,1.042,0.929,2173685.0,0.91,0.968,6460.0,0.976,805.337
502056.OF,502057.SH,502058.SH,399989.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.017281420765027,Normal,5.0,0.95,1.0659999999999998,213.0,1.0168,1.032,698617.0,1.1022,1.052,123263.0,1.0595,7837.669
