M_CODE,A_CODE,B_CODE,INDEX_CODE,CPN_FORMULA,UP_THRESHOLD,DOWN_THRESHOLD,A_RATIO,THIS_COUPON,NEXT_COUPON,NEXT_RESET_DATE,A_ESTY_NAV,FUND_STATUS,FUND_STEP,POSITION_LEVEL,A_PRE_CLOSE,A_PRE_AMT,A_PRE_NAV,B_PRE_CLOSE,B_PRE_AMT,B_PRE_NAV,M_PRE_CLOSE,M_PRE_AMT,M_PRE_NAV,INDEX_PRE_CLOSE
167601.OF,150140.SZ,150141.SZ,399300.SZ,0.035,1.5,0.25,0.5,0.05,0.05,2017-01-03,1.0196721311475465,NotTrading,5.0,0.95,0.9890000000000001,9890.0,1.0193,0.604,4734.7,0.5705,,,0.7949,3078.2183
161718.OF,150145.SZ,150146.SZ,990828.SH,0.035,1.5,0.25,0.5,0.05,0.05,2016-12-15,1.0219178082191764,Normal,5.0,0.95,0.9940000000000001,31881.9,1.022,0.413,65420.0,0.396,,,0.7090000000000001,2707.3596
165519.OF,150148.SZ,150149.SZ,990841.SH,0.032,1.5,0.25,0.5,0.047,0.047,2016-12-15,1.0206027397260304,Normal,5.0,0.95,0.996,303352.2,1.02,0.42200000000000004,1228554.1,0.406,,,0.713,8219.1334
165520.OF,150150.SZ,150151.SZ,990823.SH,0.032,1.5,0.25,0.5,0.047,0.047,2016-12-15,1.0206027397260304,Normal,5.0,0.95,1.024,476072.1,1.02,0.8320000000000001,1740474.9,0.84,,,0.93,3832.4715
161022.OF,150152.SZ,150153.SZ,399006.SZ,0.035,1.5,0.25,0.5,0.05,0.05,2017-01-03,1.0193815604860654,Normal,5.0,0.95,1.0090000000000001,13248710.9,1.0190000000000001,0.867,591651261.5,0.8590000000000001,,,0.9390000000000001,2065.301
165521.OF,150157.SZ,150158.SZ,990974.SH,0.032,1.5,0.25,0.5,0.047,0.047,2016-12-15,1.0206027397260304,Normal,5.0,0.95,1.0270000000000001,868596.8,1.02,0.684,8644253.4,0.7,,,0.86,5157.1947
161811.OF,150167.SZ,150168.SZ,399300.SZ,0.035,1.5,0.25,0.5,0.05,0.05,2016-12-01,1.023602871309899,Normal,5.0,0.95,0.993,145773.5,1.023,0.574,2987.5,0.541,,,0.782,3078.2183
163113.OF,150171.SZ,150172.SZ,399707.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2017-03-14,1.0086301369863022,Normal,5.0,0.95,0.9670000000000001,21514031.6,1.0083,1.113,212320815.0,1.0809,,,1.0446,6546.265
165522.OF,150173.SZ,150174.SZ,990998.SH,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.0197260273972644,Normal,5.0,0.95,0.977,1673409.1,1.0190000000000001,0.626,12232837.2,0.589,,,0.804,2116.5343
160625.OF,150177.SZ,150178.SZ,399966.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2017-01-03,1.0177049180327822,Normal,5.0,0.95,0.981,5607595.5,1.0170000000000001,1.175,10826460.8,1.153,,,1.085,5304.297
160626.OF,150179.SZ,150180.SZ,399935.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2017-01-03,1.0177049180327822,Normal,5.0,0.95,1.01,158741.4,1.0170000000000001,1.12,2876599.900000001,1.123,,,1.07,3990.165
161024.OF,150181.SZ,150182.SZ,399967.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.0139265251498826,Normal,5.0,0.95,0.971,17409204.5,1.014,1.04,175095890.1,0.998,,,1.006,10051.77
163114.OF,150184.SZ,150185.SZ,990827.SH,0.03,1.5,0.25,0.5,0.0525,0.0525,2016-05-30,1.0456335149863796,Normal,5.0,0.95,1.008,523461.1,1.0452,0.738,4048121.9,0.7112,,,0.8782,1586.2905
163115.OF,150186.SZ,150187.SZ,399967.SZ,0.03,1.5,0.25,0.5,0.05,0.05,2016-07-25,1.0414402173913018,Normal,5.0,0.95,0.998,3345638.4,1.041,0.768,18578098.8,0.7354,,,0.8882,10051.77
164304.OF,150190.SZ,150191.SZ,990827.SH,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.0212886576819136,Normal,5.0,0.95,1.048,116423.8,1.021,1.024,402546.6,1.0590000000000002,,,1.04,1586.2905
160628.OF,150192.SZ,150193.SZ,399965.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2017-01-03,1.0177049180327822,Normal,5.0,0.95,1.021,112426.8,1.0170000000000001,0.769,1707313.4,0.785,,,0.9009999999999999,6444.866
161025.OF,150194.SZ,150195.SZ,399970.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.0194340559038488,Normal,5.0,0.95,0.981,26870245.9,1.0190000000000001,0.43700000000000006,294259289.1,0.405,,,0.7120000000000001,2464.493
160221.OF,150196.SZ,150197.SZ,399395.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.0210958904109664,Normal,5.0,0.95,1.072,5654249.8,1.0206,0.9329999999999999,36866338.8,0.9982,,,1.0094,4100.225
160222.OF,150198.SZ,150199.SZ,399396.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.0210958904109664,Normal,5.0,0.95,1.047,2140475.3000000003,1.0206,0.486,21750718.9,0.5192,,,0.7699,7857.835999999999
161720.OF,150200.SZ,150201.SZ,399975.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.0197260273972644,Normal,5.0,0.95,0.9790000000000001,27467110.1,1.0190000000000001,0.485,259788896.5,0.455,,,0.737,805.337
160629.OF,150203.SZ,150204.SZ,399971.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-11-30,1.0102049180327837,Normal,5.0,0.95,1.011,187177.6,1.01,1.168,8269106.2,1.182,,,1.0959999999999999,2307.175
