M_CODE,A_CODE,B_CODE,INDEX_CODE,CPN_FORMULA,UP_THRESHOLD,DOWN_THRESHOLD,A_RATIO,THIS_COUPON,NEXT_COUPON,NEXT_RESET_DATE,A_ESTY_NAV,FUND_STATUS,FUND_STEP,POSITION_LEVEL,A_PRE_CLOSE,A_PRE_AMT,A_PRE_NAV,B_PRE_CLOSE,B_PRE_AMT,B_PRE_NAV,M_PRE_CLOSE,M_PRE_AMT,M_PRE_NAV,INDEX_PRE_CLOSE
161507.OF,150121.SZ,150122.SZ,990918.SH,0.035,2.0,0.25,0.5,0.05,0.05,2017-01-03,1.01967,Normal,5,0.95,,0.0,1.019,,4227.0,1.085,,0.0,1.052,
161816.OF,150030.SZ,150031.SZ,990971.SH,0.035,2.0,0.25,0.5,0.05,0.05,2017-01-03,1.01938,Normal,5,0.95,,99.7,1.019,,54310.1,0.903,,0.0,0.961,
161723.OF,150249.SZ,150250.SZ,399986.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01973,Normal,5,0.95,,67168.2,1.019,,110461.0,0.617,,0.0,0.818,
502000.OF,502001.SH,502002.SH,990982.SH,0.035,1.5,0.25,0.5,0.05,0.05,2017-01-03,1.01938,Normal,5,0.95,,26090.0,1.019,,27621.0,0.791,,0.0,0.905,
164818.OF,150247.SZ,150248.SZ,399971.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.02104,Normal,5,0.95,,1054180.0,1.0206,,6068620.0,0.5423,,0.0,0.7815,
161811.OF,150167.SZ,150168.SZ,399300.SZ,0.035,1.5,0.25,0.5,0.05,0.05,2016-12-01,1.0236,Normal,5,0.95,,145774.0,1.023,,2987.5,0.541,,0.0,0.782,
502003.OF,502004.SH,502005.SH,399967.SZ,0.03,1.5,0.25,0.5,0.05,0.05,2016-07-08,1.01575,Normal,5,0.95,,2819740.0,1.0153,,14975800.0,1.0123,,0.0,1.0138,
163113.OF,150171.SZ,150172.SZ,399707.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2017-03-14,1.00863,Normal,5,0.95,,21514000.0,1.0083,,212321000.0,1.0809,,0.0,1.0446,
160636.OF,150245.SZ,150246.SZ,399970.SZ,0.03,1.5,0.25,0.5,0.0475,0.0475,2016-11-01,1.03517,Normal,5,0.95,,34000.0,1.035,,607212.0,0.987,,0.0,1.011,
165515.OF,150051.SZ,150052.SZ,399300.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01442,Normal,5,0.95,,2380420.0,1.014,,8490330.0,1.064,,0.0,1.039,
162216.OF,150053.SZ,150054.SZ,990905.SH,0.035,2.0,0.25,0.4,0.05,0.05,2017-01-03,1.01938,Normal,5,0.95,,100930.0,1.019,,185648.0,0.7612,,0.0,0.8643,
160135.OF,150293.SZ,150294.SZ,399807.SZ,0.04,1.5,0.25,0.5,0.0625,0.0625,2016-12-01,1.0464,Normal,5,0.95,,33519.0,1.0459,,15255.9,0.8225,,0.0,0.9342,
